"ZIP
code [1]",Size of adjusted gross income,Number of returns [2]
12814,"$200,000 or more",60
12815,Total,490
12815,"$1 under $25,000",140
12815,"$25,000 under $50,000",130
12815,"$50,000 under $75,000",70
12815,"$75,000 under $100,000",50
12815,"$100,000 under $200,000",70
12815,"$200,000 or more",30
12816,Total,"2,080"
12816,"$1 under $25,000",660
12816,"$25,000 under $50,000",500
12816,"$50,000 under $75,000",320
12816,"$75,000 under $100,000",250
12816,"$100,000 under $200,000",310
12816,"$200,000 or more",40
12817,Total,"1,190"
12817,"$1 under $25,000",380
12817,"$25,000 under $50,000",280
12817,"$50,000 under $75,000",180
12817,"$75,000 under $100,000",130
12817,"$100,000 under $200,000",190
12817,"$200,000 or more",30
12819,Total,140
12819,"$1 under $25,000",50
12819,"$25,000 under $50,000",40
12819,"$50,000 under $75,000",30
12819,"$75,000 under $100,000",**
12819,"$100,000 under $200,000",20
12819,"$200,000 or more",**
12821,Total,180
12821,"$1 under $25,000",70
12821,"$25,000 under $50,000",50
12821,"$50,000 under $75,000",30
12821,"$75,000 under $100,000",30
12821,"$100,000 under $200,000",**
12821,"$200,000 or more",0
12822,Total,"2,960"
12822,"$1 under $25,000",960
12822,"$25,000 under $50,000",850
12822,"$50,000 under $75,000",470
12822,"$75,000 under $100,000",310
12822,"$100,000 under $200,000",330
12822,"$200,000 or more",40
12823,Total,140
12823,"$1 under $25,000",40
12823,"$25,000 under $50,000",30
12823,"$50,000 under $75,000",40
12823,"$75,000 under $100,000",**
12823,"$100,000 under $200,000",30
12823,"$200,000 or more",**
12824,Total,420
12824,"$1 under $25,000",120
12824,"$25,000 under $50,000",110
12824,"$50,000 under $75,000",50
12824,"$75,000 under $100,000",40
12824,"$100,000 under $200,000",70
12824,"$200,000 or more",30
12827,Total,"1,960"
12827,"$1 under $25,000",610
12827,"$25,000 under $50,000",530
12827,"$50,000 under $75,000",330
12827,"$75,000 under $100,000",220
12827,"$100,000 under $200,000",240
12827,"$200,000 or more",30
12828,Total,"4,830"
12828,"$1 under $25,000","1,490"
12828,"$25,000 under $50,000","1,390"
12828,"$50,000 under $75,000",790
12828,"$75,000 under $100,000",520
12828,"$100,000 under $200,000",580
12828,"$200,000 or more",60
12831,Total,"8,910"
12831,"$1 under $25,000","2,370"
12831,"$25,000 under $50,000","1,810"
12831,"$50,000 under $75,000","1,240"
12831,"$75,000 under $100,000",990
12831,"$100,000 under $200,000","1,940"
12831,"$200,000 or more",560
12832,Total,"2,780"
12832,"$1 under $25,000",910
12832,"$25,000 under $50,000",760
12832,"$50,000 under $75,000",450
12832,"$75,000 under $100,000",320
12832,"$100,000 under $200,000",310
12832,"$200,000 or more",30
12833,Total,"2,290"
12833,"$1 under $25,000",630
12833,"$25,000 under $50,000",510
12833,"$50,000 under $75,000",310
12833,"$75,000 under $100,000",250
12833,"$100,000 under $200,000",440
12833,"$200,000 or more",150
12834,Total,"3,300"
12834,"$1 under $25,000",950
12834,"$25,000 under $50,000",850
12834,"$50,000 under $75,000",480
12834,"$75,000 under $100,000",370
12834,"$100,000 under $200,000",560
12834,"$200,000 or more",90
12835,Total,"1,260"
12835,"$1 under $25,000",380
12835,"$25,000 under $50,000",320
12835,"$50,000 under $75,000",230
12835,"$75,000 under $100,000",140
12835,"$100,000 under $200,000",170
12835,"$200,000 or more",20
12836,Total,300
12836,"$1 under $25,000",100
12836,"$25,000 under $50,000",80
12836,"$50,000 under $75,000",40
12836,"$75,000 under $100,000",30
12836,"$100,000 under $200,000",50
12836,"$200,000 or more",**
12837,Total,370
12837,"$1 under $25,000",110
12837,"$25,000 under $50,000",100
12837,"$50,000 under $75,000",70
12837,"$75,000 under $100,000",50
12837,"$100,000 under $200,000",40
12837,"$200,000 or more",**
12838,Total,330
12838,"$1 under $25,000",100
12838,"$25,000 under $50,000",110
12838,"$50,000 under $75,000",60
12838,"$75,000 under $100,000",30
12838,"$100,000 under $200,000",30
12838,"$200,000 or more",**
12839,Total,"6,410"
12839,"$1 under $25,000","2,200"
12839,"$25,000 under $50,000","2,000"
12839,"$50,000 under $75,000","1,020"
12839,"$75,000 under $100,000",580
12839,"$100,000 under $200,000",560
12839,"$200,000 or more",50
12842,Total,600
12842,"$1 under $25,000",190
12842,"$25,000 under $50,000",170
12842,"$50,000 under $75,000",90
12842,"$75,000 under $100,000",60
12842,"$100,000 under $200,000",90
12842,"$200,000 or more",**
12843,Total,250
12843,"$1 under $25,000",90
12843,"$25,000 under $50,000",60
12843,"$50,000 under $75,000",60
12843,"$75,000 under $100,000",**
12843,"$100,000 under $200,000",40
12843,"$200,000 or more",**
12844,Total,140
12844,"$1 under $25,000",30
12844,"$25,000 under $50,000",20
12844,"$50,000 under $75,000",30
12844,"$75,000 under $100,000",**
12844,"$100,000 under $200,000",30
12844,"$200,000 or more",30
12845,Total,"2,740"
12845,"$1 under $25,000",980
12845,"$25,000 under $50,000",560
12845,"$50,000 under $75,000",360
12845,"$75,000 under $100,000",240
12845,"$100,000 under $200,000",430
12845,"$200,000 or more",170
12846,Total,"1,610"
12846,"$1 under $25,000",520
12846,"$25,000 under $50,000",430
12846,"$50,000 under $75,000",250
12846,"$75,000 under $100,000",180
12846,"$100,000 under $200,000",190
12846,"$200,000 or more",40
12847,Total,350
12847,"$1 under $25,000",110
12847,"$25,000 under $50,000",90
12847,"$50,000 under $75,000",60
12847,"$75,000 under $100,000",30
12847,"$100,000 under $200,000",60
12847,"$200,000 or more",**
12849,Total,270
12849,"$1 under $25,000",90
12849,"$25,000 under $50,000",70
12849,"$50,000 under $75,000",40
12849,"$75,000 under $100,000",30
12849,"$100,000 under $200,000",40
12849,"$200,000 or more",**
12850,Total,"1,440"
12850,"$1 under $25,000",400
12850,"$25,000 under $50,000",320
12850,"$50,000 under $75,000",210
12850,"$75,000 under $100,000",150
12850,"$100,000 under $200,000",290
12850,"$200,000 or more",70
12851,Total,150
12851,"$1 under $25,000",60
12851,"$25,000 under $50,000",40
12851,"$50,000 under $75,000",20
12851,"$75,000 under $100,000",30
12851,"$100,000 under $200,000",**
12851,"$200,000 or more",**
12852,Total,210
12852,"$1 under $25,000",60
12852,"$25,000 under $50,000",50
12852,"$50,000 under $75,000",40
12852,"$75,000 under $100,000",20
12852,"$100,000 under $200,000",40
12852,"$200,000 or more",**
12853,Total,670
12853,"$1 under $25,000",230
12853,"$25,000 under $50,000",210
12853,"$50,000 under $75,000",90
12853,"$75,000 under $100,000",60
12853,"$100,000 under $200,000",80
12853,"$200,000 or more",**
12855,Total,100
12855,"$1 under $25,000",30
12855,"$25,000 under $50,000",30
12855,"$50,000 under $75,000",20
12855,"$75,000 under $100,000",20
12855,"$100,000 under $200,000",**
12855,"$200,000 or more",**
12857,Total,260
12857,"$1 under $25,000",90
12857,"$25,000 under $50,000",60
12857,"$50,000 under $75,000",50
12857,"$75,000 under $100,000",30
12857,"$100,000 under $200,000",30
12857,"$200,000 or more",**
12859,Total,"1,000"
12859,"$1 under $25,000",270
12859,"$25,000 under $50,000",230
12859,"$50,000 under $75,000",180
12859,"$75,000 under $100,000",120
12859,"$100,000 under $200,000",170
12859,"$200,000 or more",30
12860,Total,360
12860,"$1 under $25,000",150
12860,"$25,000 under $50,000",100
12860,"$50,000 under $75,000",50
12860,"$75,000 under $100,000",30
12860,"$100,000 under $200,000",30
12860,"$200,000 or more",**
12861,Total,300
12861,"$1 under $25,000",80
12861,"$25,000 under $50,000",70
12861,"$50,000 under $75,000",50
12861,"$75,000 under $100,000",40
12861,"$100,000 under $200,000",60
12861,"$200,000 or more",**
12863,Total,360
12863,"$1 under $25,000",90
12863,"$25,000 under $50,000",80
12863,"$50,000 under $75,000",60
12863,"$75,000 under $100,000",40
12863,"$100,000 under $200,000",90
12863,"$200,000 or more",**
12865,Total,"1,610"
12865,"$1 under $25,000",510
12865,"$25,000 under $50,000",450
12865,"$50,000 under $75,000",270
12865,"$75,000 under $100,000",170
12865,"$100,000 under $200,000",180
12865,"$200,000 or more",30
12866,Total,"20,190"
12866,"$1 under $25,000","5,240"
12866,"$25,000 under $50,000","3,710"
12866,"$50,000 under $75,000","2,790"
12866,"$75,000 under $100,000","2,110"
12866,"$100,000 under $200,000","4,110"
12866,"$200,000 or more","2,230"
12870,Total,830
12870,"$1 under $25,000",280
12870,"$25,000 under $50,000",200
12870,"$50,000 under $75,000",140
12870,"$75,000 under $100,000",90
12870,"$100,000 under $200,000",90
12870,"$200,000 or more",30
12871,Total,"2,060"
12871,"$1 under $25,000",620
12871,"$25,000 under $50,000",500
12871,"$50,000 under $75,000",320
12871,"$75,000 under $100,000",220
12871,"$100,000 under $200,000",330
12871,"$200,000 or more",70
12873,Total,390
12873,"$1 under $25,000",100
12873,"$25,000 under $50,000",100
12873,"$50,000 under $75,000",70
12873,"$75,000 under $100,000",50
12873,"$100,000 under $200,000",70
12873,"$200,000 or more",**
12878,Total,330
12878,"$1 under $25,000",120
12878,"$25,000 under $50,000",90
12878,"$50,000 under $75,000",50
12878,"$75,000 under $100,000",40
12878,"$100,000 under $200,000",30
12878,"$200,000 or more",**
12883,Total,"2,260"
12883,"$1 under $25,000",790
12883,"$25,000 under $50,000",610
12883,"$50,000 under $75,000",340
12883,"$75,000 under $100,000",220
12883,"$100,000 under $200,000",260
12883,"$200,000 or more",40
12885,Total,"2,150"
12885,"$1 under $25,000",830
12885,"$25,000 under $50,000",600
12885,"$50,000 under $75,000",330
12885,"$75,000 under $100,000",180
12885,"$100,000 under $200,000",190
12885,"$200,000 or more",20
12886,Total,130
12886,"$1 under $25,000",60
12886,"$25,000 under $50,000",20
12886,"$50,000 under $75,000",30
12886,"$75,000 under $100,000",**
12886,"$100,000 under $200,000",20
12886,"$200,000 or more",**
12887,Total,"2,160"
12887,"$1 under $25,000",710
12887,"$25,000 under $50,000",620
12887,"$50,000 under $75,000",350
12887,"$75,000 under $100,000",230
12887,"$100,000 under $200,000",250
12887,"$200,000 or more",**
12901,Total,"14,270"
12901,"$1 under $25,000","4,680"
12901,"$25,000 under $50,000","4,170"
12901,"$50,000 under $75,000","2,080"
12901,"$75,000 under $100,000","1,250"
12901,"$100,000 under $200,000","1,710"
12901,"$200,000 or more",380
12903,Total,980
12903,"$1 under $25,000",230
12903,"$25,000 under $50,000",220
12903,"$50,000 under $75,000",210
12903,"$75,000 under $100,000",120
12903,"$100,000 under $200,000",160
12903,"$200,000 or more",40
12910,Total,730
12910,"$1 under $25,000",230
12910,"$25,000 under $50,000",210
12910,"$50,000 under $75,000",120
12910,"$75,000 under $100,000",80
12910,"$100,000 under $200,000",90
12910,"$200,000 or more",**
12912,Total,990
12912,"$1 under $25,000",300
12912,"$25,000 under $50,000",300
12912,"$50,000 under $75,000",180
12912,"$75,000 under $100,000",100
12912,"$100,000 under $200,000",90
12912,"$200,000 or more",20
12913,Total,540
12913,"$1 under $25,000",140
12913,"$25,000 under $50,000",160
12913,"$50,000 under $75,000",90
12913,"$75,000 under $100,000",60
12913,"$100,000 under $200,000",90
12913,"$200,000 or more",**
12914,Total,330
12914,"$1 under $25,000",110
12914,"$25,000 under $50,000",90
12914,"$50,000 under $75,000",60
12914,"$75,000 under $100,000",40
12914,"$100,000 under $200,000",30
12914,"$200,000 or more",**
12916,Total,940
12916,"$1 under $25,000",310
12916,"$25,000 under $50,000",290
12916,"$50,000 under $75,000",160
12916,"$75,000 under $100,000",100
12916,"$100,000 under $200,000",80
12916,"$200,000 or more",**
12917,Total,600
12917,"$1 under $25,000",210
12917,"$25,000 under $50,000",140
12917,"$50,000 under $75,000",100
12917,"$75,000 under $100,000",90
12917,"$100,000 under $200,000",60
12917,"$200,000 or more",**
12918,Total,"1,160"
12918,"$1 under $25,000",270
12918,"$25,000 under $50,000",340
12918,"$50,000 under $75,000",220
12918,"$75,000 under $100,000",120
12918,"$100,000 under $200,000",210
12918,"$200,000 or more",**
12919,Total,"1,580"
12919,"$1 under $25,000",480
12919,"$25,000 under $50,000",480
12919,"$50,000 under $75,000",240
12919,"$75,000 under $100,000",160
12919,"$100,000 under $200,000",220
12919,"$200,000 or more",**
12920,Total,"1,060"
12920,"$1 under $25,000",320
12920,"$25,000 under $50,000",280
12920,"$50,000 under $75,000",170
12920,"$75,000 under $100,000",130
12920,"$100,000 under $200,000",160
12920,"$200,000 or more",**
12921,Total,"1,270"
12921,"$1 under $25,000",390
12921,"$25,000 under $50,000",320
12921,"$50,000 under $75,000",190
12921,"$75,000 under $100,000",140
12921,"$100,000 under $200,000",200
12921,"$200,000 or more",30
12923,Total,210
12923,"$1 under $25,000",70
12923,"$25,000 under $50,000",50
12923,"$50,000 under $75,000",40
12923,"$75,000 under $100,000",30
12923,"$100,000 under $200,000",20
12923,"$200,000 or more",**
12926,Total,900
12926,"$1 under $25,000",310
12926,"$25,000 under $50,000",270
12926,"$50,000 under $75,000",160
12926,"$75,000 under $100,000",80
12926,"$100,000 under $200,000",80
12926,"$200,000 or more",**
12928,Total,960
12928,"$1 under $25,000",300
12928,"$25,000 under $50,000",270
12928,"$50,000 under $75,000",160
12928,"$75,000 under $100,000",100
12928,"$100,000 under $200,000",130
12928,"$200,000 or more",**
12930,Total,310
12930,"$1 under $25,000",100
12930,"$25,000 under $50,000",80
12930,"$50,000 under $75,000",60
12930,"$75,000 under $100,000",40
12930,"$100,000 under $200,000",30
12930,"$200,000 or more",**
12932,Total,620
12932,"$1 under $25,000",180
12932,"$25,000 under $50,000",180
12932,"$50,000 under $75,000",120
12932,"$75,000 under $100,000",50
12932,"$100,000 under $200,000",70
12932,"$200,000 or more",20
12934,Total,440
12934,"$1 under $25,000",120
12934,"$25,000 under $50,000",140
12934,"$50,000 under $75,000",80
12934,"$75,000 under $100,000",50
12934,"$100,000 under $200,000",50
12934,"$200,000 or more",**
12935,Total,680
12935,"$1 under $25,000",210
12935,"$25,000 under $50,000",180
12935,"$50,000 under $75,000",120
12935,"$75,000 under $100,000",70
12935,"$100,000 under $200,000",100
12935,"$200,000 or more",**
12936,Total,310
12936,"$1 under $25,000",100
12936,"$25,000 under $50,000",80
12936,"$50,000 under $75,000",40
12936,"$75,000 under $100,000",30
12936,"$100,000 under $200,000",60
12936,"$200,000 or more",**
12937,Total,580
12937,"$1 under $25,000",210
12937,"$25,000 under $50,000",170
12937,"$50,000 under $75,000",90
12937,"$75,000 under $100,000",60
12937,"$100,000 under $200,000",50
12937,"$200,000 or more",**
12941,Total,680
12941,"$1 under $25,000",220
12941,"$25,000 under $50,000",150
12941,"$50,000 under $75,000",110
12941,"$75,000 under $100,000",80
12941,"$100,000 under $200,000",120
12941,"$200,000 or more",**
12942,Total,340
12942,"$1 under $25,000",90
12942,"$25,000 under $50,000",60
12942,"$50,000 under $75,000",50
12942,"$75,000 under $100,000",50
12942,"$100,000 under $200,000",70
12942,"$200,000 or more",20
12943,Total,220
12943,"$1 under $25,000",70
12943,"$25,000 under $50,000",50
12943,"$50,000 under $75,000",50
12943,"$75,000 under $100,000",**
12943,"$100,000 under $200,000",50
12943,"$200,000 or more",**
12944,Total,"1,860"
12944,"$1 under $25,000",610
12944,"$25,000 under $50,000",580
12944,"$50,000 under $75,000",270
12944,"$75,000 under $100,000",190
12944,"$100,000 under $200,000",180
12944,"$200,000 or more",30
12945,Total,340
12945,"$1 under $25,000",100
12945,"$25,000 under $50,000",90
12945,"$50,000 under $75,000",60
12945,"$75,000 under $100,000",40
12945,"$100,000 under $200,000",50
12945,"$200,000 or more",**
12946,Total,"2,860"
12946,"$1 under $25,000",970
12946,"$25,000 under $50,000",750
12946,"$50,000 under $75,000",400
12946,"$75,000 under $100,000",220
12946,"$100,000 under $200,000",370
12946,"$200,000 or more",150
12950,Total,400
12950,"$1 under $25,000",150
12950,"$25,000 under $50,000",120
12950,"$50,000 under $75,000",60
12950,"$75,000 under $100,000",30
12950,"$100,000 under $200,000",40
12950,"$200,000 or more",**
12952,Total,270
12952,"$1 under $25,000",90
12952,"$25,000 under $50,000",80
12952,"$50,000 under $75,000",40
12952,"$75,000 under $100,000",30
12952,"$100,000 under $200,000",30
12952,"$200,000 or more",**
12953,Total,"4,870"
12953,"$1 under $25,000","1,660"
12953,"$25,000 under $50,000","1,340"
12953,"$50,000 under $75,000",780
12953,"$75,000 under $100,000",450
12953,"$100,000 under $200,000",550
12953,"$200,000 or more",90
12955,Total,150
12955,"$1 under $25,000",50
12955,"$25,000 under $50,000",40
12955,"$50,000 under $75,000",40
12955,"$75,000 under $100,000",**
12955,"$100,000 under $200,000",20
12955,"$200,000 or more",**
12956,Total,530
12956,"$1 under $25,000",190
12956,"$25,000 under $50,000",140
12956,"$50,000 under $75,000",100
12956,"$75,000 under $100,000",50
12956,"$100,000 under $200,000",50
12956,"$200,000 or more",**
12957,Total,680
12957,"$1 under $25,000",240
12957,"$25,000 under $50,000",210
12957,"$50,000 under $75,000",100
12957,"$75,000 under $100,000",60
12957,"$100,000 under $200,000",70
12957,"$200,000 or more",**
12958,Total,890
12958,"$1 under $25,000",270
12958,"$25,000 under $50,000",250
12958,"$50,000 under $75,000",150
12958,"$75,000 under $100,000",100
12958,"$100,000 under $200,000",120
12958,"$200,000 or more",**
12959,Total,590
12959,"$1 under $25,000",200
12959,"$25,000 under $50,000",170
12959,"$50,000 under $75,000",90
12959,"$75,000 under $100,000",50
12959,"$100,000 under $200,000",80
12959,"$200,000 or more",**
12960,Total,530
12960,"$1 under $25,000",160
12960,"$25,000 under $50,000",150
12960,"$50,000 under $75,000",90
12960,"$75,000 under $100,000",50
12960,"$100,000 under $200,000",80
12960,"$200,000 or more",**
12961,Total,100
12961,"$1 under $25,000",30
12961,"$25,000 under $50,000",30
12961,"$50,000 under $75,000",20
12961,"$75,000 under $100,000",20
12961,"$100,000 under $200,000",**
12961,"$200,000 or more",**
12962,Total,"2,730"
12962,"$1 under $25,000",730
12962,"$25,000 under $50,000",650
12962,"$50,000 under $75,000",420
12962,"$75,000 under $100,000",360
12962,"$100,000 under $200,000",500
12962,"$200,000 or more",70
12965,Total,230
12965,"$1 under $25,000",80
12965,"$25,000 under $50,000",60
12965,"$50,000 under $75,000",30
12965,"$75,000 under $100,000",30
12965,"$100,000 under $200,000",30
12965,"$200,000 or more",**
12966,Total,"1,250"
12966,"$1 under $25,000",400
12966,"$25,000 under $50,000",370
12966,"$50,000 under $75,000",230
12966,"$75,000 under $100,000",120
12966,"$100,000 under $200,000",130
12966,"$200,000 or more",**
12967,Total,470
12967,"$1 under $25,000",170
12967,"$25,000 under $50,000",120
12967,"$50,000 under $75,000",70
12967,"$75,000 under $100,000",50
12967,"$100,000 under $200,000",60
12967,"$200,000 or more",**
12969,Total,190
12969,"$1 under $25,000",50
12969,"$25,000 under $50,000",50
12969,"$50,000 under $75,000",30
12969,"$75,000 under $100,000",30
12969,"$100,000 under $200,000",30
12969,"$200,000 or more",**
12970,Total,150
12970,"$1 under $25,000",40
12970,"$25,000 under $50,000",40
12970,"$50,000 under $75,000",30
12970,"$75,000 under $100,000",40
12970,"$100,000 under $200,000",**
12970,"$200,000 or more",0
12972,Total,"3,120"
12972,"$1 under $25,000",850
12972,"$25,000 under $50,000",720
12972,"$50,000 under $75,000",520
12972,"$75,000 under $100,000",360
12972,"$100,000 under $200,000",580
12972,"$200,000 or more",90
12974,Total,680
12974,"$1 under $25,000",240
12974,"$25,000 under $50,000",200
12974,"$50,000 under $75,000",100
12974,"$75,000 under $100,000",60
12974,"$100,000 under $200,000",80
12974,"$200,000 or more",**
12978,Total,180
12978,"$1 under $25,000",50
12978,"$25,000 under $50,000",60
12978,"$50,000 under $75,000",50
12978,"$75,000 under $100,000",**
12978,"$100,000 under $200,000",20
12978,"$200,000 or more",**
12979,Total,"1,180"
12979,"$1 under $25,000",390
12979,"$25,000 under $50,000",310
12979,"$50,000 under $75,000",180
12979,"$75,000 under $100,000",120
12979,"$100,000 under $200,000",150
12979,"$200,000 or more",30
12980,Total,550
12980,"$1 under $25,000",190
12980,"$25,000 under $50,000",170
12980,"$50,000 under $75,000",70
12980,"$75,000 under $100,000",60
12980,"$100,000 under $200,000",60
12980,"$200,000 or more",**
12981,Total,"1,090"
12981,"$1 under $25,000",260
12981,"$25,000 under $50,000",310
12981,"$50,000 under $75,000",190
12981,"$75,000 under $100,000",140
12981,"$100,000 under $200,000",190
12981,"$200,000 or more",**
12983,Total,"3,610"
12983,"$1 under $25,000","1,100"
12983,"$25,000 under $50,000","1,000"
12983,"$50,000 under $75,000",480
12983,"$75,000 under $100,000",370
12983,"$100,000 under $200,000",520
12983,"$200,000 or more",140
12985,Total,490
12985,"$1 under $25,000",170
12985,"$25,000 under $50,000",130
12985,"$50,000 under $75,000",70
12985,"$75,000 under $100,000",60
12985,"$100,000 under $200,000",60
12985,"$200,000 or more",**
12986,Total,"2,620"
12986,"$1 under $25,000",740
12986,"$25,000 under $50,000",740
12986,"$50,000 under $75,000",510
12986,"$75,000 under $100,000",260
12986,"$100,000 under $200,000",320
12986,"$200,000 or more",50
12987,Total,120
12987,"$1 under $25,000",40
12987,"$25,000 under $50,000",30
12987,"$50,000 under $75,000",30
12987,"$75,000 under $100,000",**
12987,"$100,000 under $200,000",20
12987,"$200,000 or more",**
12989,Total,450
12989,"$1 under $25,000",110
12989,"$25,000 under $50,000",120
12989,"$50,000 under $75,000",80
12989,"$75,000 under $100,000",60
12989,"$100,000 under $200,000",80
12989,"$200,000 or more",**
12992,Total,"2,420"
12992,"$1 under $25,000",720
12992,"$25,000 under $50,000",720
12992,"$50,000 under $75,000",380
12992,"$75,000 under $100,000",270
12992,"$100,000 under $200,000",300
12992,"$200,000 or more",30
12993,Total,780
12993,"$1 under $25,000",260
12993,"$25,000 under $50,000",180
12993,"$50,000 under $75,000",130
12993,"$75,000 under $100,000",80
12993,"$100,000 under $200,000",100
12993,"$200,000 or more",30
12996,Total,910
12996,"$1 under $25,000",290
12996,"$25,000 under $50,000",250
12996,"$50,000 under $75,000",150
12996,"$75,000 under $100,000",90
12996,"$100,000 under $200,000",100
12996,"$200,000 or more",30
12997,Total,620
12997,"$1 under $25,000",200
12997,"$25,000 under $50,000",170
12997,"$50,000 under $75,000",90
12997,"$75,000 under $100,000",60
12997,"$100,000 under $200,000",100
12997,"$200,000 or more",**
12998,Total,240
12998,"$1 under $25,000",100
12998,"$25,000 under $50,000",70
12998,"$50,000 under $75,000",30
12998,"$75,000 under $100,000",40
12998,"$100,000 under $200,000",**
12998,"$200,000 or more",**
13021,Total,"18,500"
13021,"$1 under $25,000","6,400"
13021,"$25,000 under $50,000","4,790"
13021,"$50,000 under $75,000","2,790"
13021,"$75,000 under $100,000","1,720"
13021,"$100,000 under $200,000","2,330"
13021,"$200,000 or more",470
13026,Total,620
13026,"$1 under $25,000",160
13026,"$25,000 under $50,000",140
13026,"$50,000 under $75,000",100
13026,"$75,000 under $100,000",80
13026,"$100,000 under $200,000",120
13026,"$200,000 or more",20
13027,Total,"17,450"
13027,"$1 under $25,000","4,610"
13027,"$25,000 under $50,000","3,640"
13027,"$50,000 under $75,000","2,670"
13027,"$75,000 under $100,000","1,910"
13027,"$100,000 under $200,000","3,550"
13027,"$200,000 or more","1,070"
13028,Total,570
13028,"$1 under $25,000",180
13028,"$25,000 under $50,000",140
13028,"$50,000 under $75,000",110
13028,"$75,000 under $100,000",60
13028,"$100,000 under $200,000",80
13028,"$200,000 or more",**
13029,Total,"3,670"
13029,"$1 under $25,000",980
13029,"$25,000 under $50,000",800
13029,"$50,000 under $75,000",570
13029,"$75,000 under $100,000",370
13029,"$100,000 under $200,000",750
13029,"$200,000 or more",200
13030,Total,"1,990"
13030,"$1 under $25,000",550
13030,"$25,000 under $50,000",540
13030,"$50,000 under $75,000",330
13030,"$75,000 under $100,000",210
13030,"$100,000 under $200,000",290
13030,"$200,000 or more",70
13031,Total,"8,740"
13031,"$1 under $25,000","2,250"
13031,"$25,000 under $50,000","1,900"
13031,"$50,000 under $75,000","1,440"
13031,"$75,000 under $100,000",970
13031,"$100,000 under $200,000","1,720"
13031,"$200,000 or more",460
13032,Total,"5,960"
13032,"$1 under $25,000","1,870"
13032,"$25,000 under $50,000","1,620"
13032,"$50,000 under $75,000",970
13032,"$75,000 under $100,000",600
13032,"$100,000 under $200,000",770
13032,"$200,000 or more",130
13033,Total,"1,760"
13033,"$1 under $25,000",500
13033,"$25,000 under $50,000",450
13033,"$50,000 under $75,000",330
13033,"$75,000 under $100,000",210
13033,"$100,000 under $200,000",250
13033,"$200,000 or more",20
13034,Total,840
13034,"$1 under $25,000",230
13034,"$25,000 under $50,000",200
13034,"$50,000 under $75,000",140
13034,"$75,000 under $100,000",90
13034,"$100,000 under $200,000",150
13034,"$200,000 or more",30
13035,Total,"3,940"
13035,"$1 under $25,000","1,050"
13035,"$25,000 under $50,000",670
13035,"$50,000 under $75,000",490
13035,"$75,000 under $100,000",390
13035,"$100,000 under $200,000",870
13035,"$200,000 or more",470
13036,Total,"4,280"
13036,"$1 under $25,000","1,290"
13036,"$25,000 under $50,000","1,130"
13036,"$50,000 under $75,000",680
13036,"$75,000 under $100,000",480
13036,"$100,000 under $200,000",620
13036,"$200,000 or more",80
13037,Total,"4,530"
13037,"$1 under $25,000","1,240"
13037,"$25,000 under $50,000","1,100"
13037,"$50,000 under $75,000",700
13037,"$75,000 under $100,000",490
13037,"$100,000 under $200,000",830
13037,"$200,000 or more",170
13039,Total,"9,260"
13039,"$1 under $25,000","2,460"
13039,"$25,000 under $50,000","1,930"
13039,"$50,000 under $75,000","1,360"
13039,"$75,000 under $100,000","1,050"
13039,"$100,000 under $200,000","2,000"
13039,"$200,000 or more",460
13040,Total,"1,210"
13040,"$1 under $25,000",410
13040,"$25,000 under $50,000",330
13040,"$50,000 under $75,000",240
13040,"$75,000 under $100,000",110
13040,"$100,000 under $200,000",120
13040,"$200,000 or more",**
13041,Total,"5,970"
13041,"$1 under $25,000","1,490"
13041,"$25,000 under $50,000","1,240"
13041,"$50,000 under $75,000",930
13041,"$75,000 under $100,000",820
13041,"$100,000 under $200,000","1,260"
13041,"$200,000 or more",230
13042,Total,"1,020"
13042,"$1 under $25,000",290
13042,"$25,000 under $50,000",290
13042,"$50,000 under $75,000",180
13042,"$75,000 under $100,000",110
13042,"$100,000 under $200,000",150
13042,"$200,000 or more",**
13044,Total,"1,240"
13044,"$1 under $25,000",380
13044,"$25,000 under $50,000",330
13044,"$50,000 under $75,000",190
13044,"$75,000 under $100,000",130
13044,"$100,000 under $200,000",180
13044,"$200,000 or more",30
13045,Total,"11,410"
13045,"$1 under $25,000","3,780"
13045,"$25,000 under $50,000","3,190"
13045,"$50,000 under $75,000","1,740"
13045,"$75,000 under $100,000","1,040"
13045,"$100,000 under $200,000","1,420"
13045,"$200,000 or more",240
13052,Total,840
13052,"$1 under $25,000",250
13052,"$25,000 under $50,000",240
13052,"$50,000 under $75,000",140
13052,"$75,000 under $100,000",90
13052,"$100,000 under $200,000",120
13052,"$200,000 or more",**
13053,Total,"2,110"
13053,"$1 under $25,000",660
13053,"$25,000 under $50,000",510
13053,"$50,000 under $75,000",300
13053,"$75,000 under $100,000",190
13053,"$100,000 under $200,000",380
13053,"$200,000 or more",70
13054,Total,730
13054,"$1 under $25,000",230
13054,"$25,000 under $50,000",200
13054,"$50,000 under $75,000",120
13054,"$75,000 under $100,000",90
13054,"$100,000 under $200,000",90
13054,"$200,000 or more",**
13057,Total,"7,850"
13057,"$1 under $25,000","2,280"
13057,"$25,000 under $50,000","2,150"
13057,"$50,000 under $75,000","1,310"
13057,"$75,000 under $100,000",800
13057,"$100,000 under $200,000","1,090"
13057,"$200,000 or more",220
13060,Total,"1,420"
13060,"$1 under $25,000",440
13060,"$25,000 under $50,000",360
13060,"$50,000 under $75,000",240
13060,"$75,000 under $100,000",140
13060,"$100,000 under $200,000",210
