"ZIP
code [1]",Size of adjusted gross income,Number of returns [2]
10037,Total,"10,510"
10037,"$1 under $25,000","3,350"
10037,"$25,000 under $50,000","2,830"
10037,"$50,000 under $75,000","1,960"
10037,"$75,000 under $100,000","1,100"
10037,"$100,000 under $200,000","1,100"
10037,"$200,000 or more",170
10038,Total,"11,950"
10038,"$1 under $25,000","2,900"
10038,"$25,000 under $50,000","1,870"
10038,"$50,000 under $75,000","1,550"
10038,"$75,000 under $100,000","1,130"
10038,"$100,000 under $200,000","2,390"
10038,"$200,000 or more","2,110"
10039,Total,"13,370"
10039,"$1 under $25,000","5,390"
10039,"$25,000 under $50,000","3,930"
10039,"$50,000 under $75,000","2,080"
10039,"$75,000 under $100,000",900
10039,"$100,000 under $200,000",840
10039,"$200,000 or more",230
10040,Total,"20,900"
10040,"$1 under $25,000","7,970"
10040,"$25,000 under $50,000","5,840"
10040,"$50,000 under $75,000","3,270"
10040,"$75,000 under $100,000","1,580"
10040,"$100,000 under $200,000","1,720"
10040,"$200,000 or more",520
10044,Total,"4,460"
10044,"$1 under $25,000","1,080"
10044,"$25,000 under $50,000",750
10044,"$50,000 under $75,000",680
10044,"$75,000 under $100,000",460
10044,"$100,000 under $200,000",900
10044,"$200,000 or more",590
10065,Total,"15,040"
10065,"$1 under $25,000","2,020"
10065,"$25,000 under $50,000","1,690"
10065,"$50,000 under $75,000","1,890"
10065,"$75,000 under $100,000","1,480"
10065,"$100,000 under $200,000","3,240"
10065,"$200,000 or more","4,720"
10069,Total,"3,130"
10069,"$1 under $25,000",420
10069,"$25,000 under $50,000",260
10069,"$50,000 under $75,000",280
10069,"$75,000 under $100,000",220
10069,"$100,000 under $200,000",610
10069,"$200,000 or more","1,340"
10075,Total,"13,540"
10075,"$1 under $25,000","1,960"
10075,"$25,000 under $50,000","1,270"
10075,"$50,000 under $75,000","1,640"
10075,"$75,000 under $100,000","1,520"
10075,"$100,000 under $200,000","3,160"
10075,"$200,000 or more","3,990"
10128,Total,"31,360"
10128,"$1 under $25,000","4,900"
10128,"$25,000 under $50,000","3,690"
10128,"$50,000 under $75,000","4,290"
10128,"$75,000 under $100,000","3,380"
10128,"$100,000 under $200,000","6,760"
10128,"$200,000 or more","8,340"
10162,Total,720
10162,"$1 under $25,000",80
10162,"$25,000 under $50,000",40
10162,"$50,000 under $75,000",70
10162,"$75,000 under $100,000",50
10162,"$100,000 under $200,000",180
10162,"$200,000 or more",300
10280,Total,"4,180"
10280,"$1 under $25,000",460
10280,"$25,000 under $50,000",310
10280,"$50,000 under $75,000",410
10280,"$75,000 under $100,000",400
10280,"$100,000 under $200,000","1,160"
10280,"$200,000 or more","1,440"
10282,Total,"2,020"
10282,"$1 under $25,000",200
10282,"$25,000 under $50,000",100
10282,"$50,000 under $75,000",130
10282,"$75,000 under $100,000",110
10282,"$100,000 under $200,000",340
10282,"$200,000 or more","1,140"
10301,Total,"18,380"
10301,"$1 under $25,000","5,600"
10301,"$25,000 under $50,000","4,300"
10301,"$50,000 under $75,000","2,820"
10301,"$75,000 under $100,000","1,820"
10301,"$100,000 under $200,000","2,760"
10301,"$200,000 or more","1,080"
10302,Total,"8,540"
10302,"$1 under $25,000","2,990"
10302,"$25,000 under $50,000","2,180"
10302,"$50,000 under $75,000","1,290"
10302,"$75,000 under $100,000",750
10302,"$100,000 under $200,000","1,140"
10302,"$200,000 or more",190
10303,Total,"12,730"
10303,"$1 under $25,000","4,640"
10303,"$25,000 under $50,000","3,570"
10303,"$50,000 under $75,000","1,940"
10303,"$75,000 under $100,000","1,100"
10303,"$100,000 under $200,000","1,330"
10303,"$200,000 or more",150
10304,Total,"20,710"
10304,"$1 under $25,000","7,260"
10304,"$25,000 under $50,000","5,350"
10304,"$50,000 under $75,000","2,840"
10304,"$75,000 under $100,000","1,690"
10304,"$100,000 under $200,000","2,480"
10304,"$200,000 or more","1,090"
10305,Total,"20,140"
10305,"$1 under $25,000","6,370"
10305,"$25,000 under $50,000","4,610"
10305,"$50,000 under $75,000","2,990"
10305,"$75,000 under $100,000","2,070"
10305,"$100,000 under $200,000","3,330"
10305,"$200,000 or more",770
10306,Total,"28,150"
10306,"$1 under $25,000","7,920"
10306,"$25,000 under $50,000","5,680"
10306,"$50,000 under $75,000","4,130"
10306,"$75,000 under $100,000","3,070"
10306,"$100,000 under $200,000","5,590"
10306,"$200,000 or more","1,760"
10307,Total,"6,610"
10307,"$1 under $25,000","1,670"
10307,"$25,000 under $50,000","1,090"
10307,"$50,000 under $75,000",870
10307,"$75,000 under $100,000",680
10307,"$100,000 under $200,000","1,570"
10307,"$200,000 or more",730
10308,Total,"13,790"
10308,"$1 under $25,000","3,330"
10308,"$25,000 under $50,000","2,540"
10308,"$50,000 under $75,000","2,040"
10308,"$75,000 under $100,000","1,650"
10308,"$100,000 under $200,000","3,300"
10308,"$200,000 or more",930
10309,Total,"15,470"
10309,"$1 under $25,000","3,760"
10309,"$25,000 under $50,000","2,700"
10309,"$50,000 under $75,000","2,150"
10309,"$75,000 under $100,000","1,720"
10309,"$100,000 under $200,000","3,680"
10309,"$200,000 or more","1,460"
10310,Total,"11,800"
10310,"$1 under $25,000","3,830"
10310,"$25,000 under $50,000","2,690"
10310,"$50,000 under $75,000","1,760"
10310,"$75,000 under $100,000","1,030"
10310,"$100,000 under $200,000","1,870"
10310,"$200,000 or more",620
10312,Total,"29,960"
10312,"$1 under $25,000","7,340"
10312,"$25,000 under $50,000","5,300"
10312,"$50,000 under $75,000","4,290"
10312,"$75,000 under $100,000","3,500"
10312,"$100,000 under $200,000","7,190"
10312,"$200,000 or more","2,340"
10314,Total,"41,620"
10314,"$1 under $25,000","11,520"
10314,"$25,000 under $50,000","8,500"
10314,"$50,000 under $75,000","6,210"
10314,"$75,000 under $100,000","4,640"
