"","zipcode","n_rats","borough","neighborhood","n_rest","rest_to_rat","rat_to_rest","score_avg","score_to_rat","rat_to_score","population","rat_per_cap","tax_rating","rat_to_tax"
"18","10020",4,"Manhattan","Chelsea and Clinton",168,42,0.0238095238095238,11.202380952381,2.80059523809524,0.357066950053135,NA,NA,NA,NA
"19","10021",751,"Manhattan","Upper East Side",1323,1.76165113182423,0.567649281934996,20.8548752834467,0.0277694744120462,36.010764379689,42253,0.0177738858779258,4.17432432432432,179.909355778569
"20","10022",545,"Manhattan","Gramercy Park and Murray Hill",3419,6.27339449541284,0.159403334308277,19.4515940333431,0.0356909982263176,28.0182693030599,31574,0.0172610375625515,4.21129707112971,129.413810233482
"21","10023",1572,"Manhattan","Upper West Side",1567,0.996819338422392,1.00319081046586,19.914486279515,0.0126682482694116,78.9375120169198,62228,0.0252619399627177,4.0717746820109,386.072443287467
"22","10024",2929,"Manhattan","Upper West Side",1683,0.574598839194264,1.74034462269756,19.3368983957219,0.00660187722626218,151.472068584071,60714,0.0482425799650822,4.00554977454041,731.235452026325
"23","10025",5555,"Manhattan","Upper West Side",2267,0.408100810081008,2.45037494486105,22.4838994265549,0.00404750664744463,247.065684408781,92162,0.0602742996028732,3.3512832263978,1657.57401709402
"24","10026",2990,"Manhattan","Central Harlem",619,0.207023411371237,4.83037156704362,24.5476575121163,0.00820991890037335,121.803882856203,38937,0.0767907132033798,2.6133704735376,1144.11639309316
"25","10027",3239,"Manhattan","Central Harlem",1468,0.453226304414943,2.20640326975477,20.9693460490463,0.0064740185393783,154.46356755352,64728,0.050040168087999,2.52749719416386,1281.50488454707
"26","10028",1427,"Manhattan","Upper East Side",1840,1.28941836019622,0.77554347826087,21.6179347826087,0.0151492184881631,66.010005782236,47962,0.029752720904049,4.03161397670549,353.952538175815
"27","10029",2337,"Manhattan","East Harlem",1844,0.789045785194694,1.2673535791757,22.7055314533623,0.00971567456284221,102.926461104875,74617,0.0313199404961336,2.19470314318976,1064.83649383371
"28","10030",1693,"Manhattan","Central Harlem",225,0.132900177200236,7.52444444444444,22.6222222222222,0.0133622104088731,74.8379174852652,30996,0.0546199509614144,2.17144959529065,779.663503896984
"29","10031",2789,"Manhattan","Inwood and Washington Heights",1199,0.429903191107924,2.32610508757298,18.7606338615513,0.0067266525140019,148.662354405619,60280,0.0462674187126742,2.21486154924641,1259.22092103181
"30","10032",1907,"Manhattan","Inwood and Washington Heights",1190,0.624016780283167,1.60252100840336,24.5949579831933,0.0128971987326656,77.536217028837,59527,0.0320358828766778,2.14930555555556,887.263327948304
"31","10033",1724,"Manhattan","Inwood and Washington Heights",1299,0.753480278422274,1.32717474980754,21.6358737490377,0.0125498107593026,79.6824764276819,58648,0.0293957168189879,2.27348170501697,758.308279409325
"32","10034",1503,"Manhattan","Inwood and Washington Heights",1048,0.697272122421823,1.43416030534351,20.8148854961832,0.0138488925456974,72.2079398551389,41933,0.0358428922328476,2.28324873096447,658.272565584704
"33","10035",1555,"Manhattan","East Harlem",644,0.414147909967846,2.41459627329193,23.1413043478261,0.0148818677477981,67.1958666040395,36999,0.0420281629233223,2.25567813108371,689.371403912543
"34","10036",904,"Manhattan","Chelsea and Clinton",4544,5.02654867256637,0.198943661971831,19.0506161971831,0.0210736904836096,47.4525333271723,28231,0.0320215366086926,3.49056603773585,258.983783783784
"35","10037",729,"Manhattan","Central Harlem",230,0.315500685871056,3.1695652173913,24.3869565217391,0.0334526152561579,29.8930290604386,19177,0.0380142879491057,2.4557564224548,296.853545137544
"36","10038",571,"Manhattan","Lower Manhattan",1568,2.74605954465849,0.364158163265306,21.8424744897959,0.0382530201222345,26.141726765745,24205,0.0235901673208015,3.38242677824268,168.813706086096
"37","10039",785,"Manhattan","Central Harlem",249,0.317197452229299,3.15261044176707,20.2690763052209,0.0258204793697081,38.7289478898355,27090,0.0289774824658546,2.14435302916978,366.077781653296
"38","10040",1103,"Manhattan","Inwood and Washington Heights",803,0.728014505893019,1.37359900373599,23.2216687422167,0.0210531901561348,47.4987397436585,45197,0.0244042746199969,2.27272727272727,485.32
"39","10041",2,NA,NA,30,15,0.0666666666666667,26.5333333333333,13.2666666666667,0.0753768844221105,NA,NA,NA,NA
"40","10044",15,"Manhattan","Upper East Side",63,4.2,0.238095238095238,13.3650793650794,0.891005291005291,1.12232779097387,12770,0.00117462803445576,3.25112107623318,4.61379310344828
"41","10048",1,NA,NA,4,4,0.25,10.25,10.25,0.0975609756097561,NA,NA,NA,NA
